,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
107,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/eb4cdd5e_0a98_4ff2_9d07_a3b7006611c7/preview_00030611_001.jpg,figure,"No: 1969,0725.1",,,,"Seated Buddha. A bronze figure of the Buddha with traces of gilding, seated in padmāsana with hands held in dharmacakramudrā. Image rivetted to a rectangular moulded base, the latter inscribed.",,,,,,,,6thC (early),Made in: India,Found/Acquired: Danesar Khera,bronze; gold,,,cast; gilded,Height: 330 millimetres; Width: 220 millimetres; Depth: 152 millimetres,"Inscription type: inscription Inscription position: Upper tier of base Inscription language: Sanskrit Inscription script: Siddhamātrkā Inscription quoted: Records that the image is deyadharma of Rajñī Mahādevī, consort of Śrī Harirāja of the Gupta lineage. Inscription transliteration: 1) deyadharmmoya[ṃ*] guptavaṇṣ-[read: vaṃś-]oditaśrīharirājasya rājñīmahādevyāḥ | yad atra puṇya[ṃ*] tad bhavatu
2) sarvvasatvānā[ṃ*] mātāpitṛpū[r]vvaṅgama[read: me]na anuttarapadajñānāvāptaye [||*] Inscription translation: This is the deyadharma of Mahādevī the queen of Śrī Harirāja born in the Gupta lineage. Whatever merit there is in it, let it be for the attainment of knowledge of the supreme state by all sentient beings, headed by parents [of the queen].",,"Koezuka (1994) / Masterpieces of Buddhist and Hindu Art from the British Museum; Zwalf 1985 / Buddhism: Art and Faith; von Schroeder 1981 / Indo-Tibetan Bronzes; Smith & Hoey 1895 / Ancient Buddhist Statuettes and a Candella Copper-Plate from the Bāndā District; Ashton 1950 / The Art of India and Pakistan.  A Commemorative Catalogue of the Exhibition held at the Royal Academy of Arts, London; Guy & Willis 2007 / L' Escultura en els Temples Indis: L'Art de la Devoció; Sircar 1948-49 / King Harirāja of Bundelkhand; Sircar 1959-60 / Copper Coin of Harigupta; Willis 2014 / The Dhanesar Kherā Buddha in the British Museum and the ‘Politische Strukturen’ of the Gupta Kingdom in India",On display (G33/dc52a/s1),"Exhibited:
1990 20 Oct-9 Dec, Japan, Tokyo, Setagaya Art Museum, Treasures of the British Museum, cat. no.133 
1991 5 Jan-20 Feb, Japan, Yamaguchi, Prefectural Museum of Art, Treasures of the British Museum, cat. no.133
1991 9 Mar-7 May, Japan, Osaka, National Museum of Art, Treasures of the British Museum, cat. no.133
1994, Kyoto National Museum, Masterpieces of Buddhist and Hindu Sculpture from the British Museum
1994, Tokyo, Tobu Museum of Art, Masterpieces of Buddhist and Hindu Sculpture from the British Museum
2007 26 Jul-18 Nov, Spain, Barcelona, CaixaForum, L'Escultura en els Temples Indis. L'Art de Devocio.",,buddha,Representation of: Buddha,,,,"Purchased from: Pierre Jeannerat, OBE",Funded by: Brooke Sewell Bequest,,,1969,,,Asia,,"1969,0725.1",,,,,196907251
108,https://media.britishmuseum.org/media/Repository/Documents/2017_10/18_12/b5cef896_7040_406d_bde6_a81000c62138/preview_PS153699.jpg,figure,"No: 1854,0214.1",,,,"Figure of the Buddha seated on a lotus pedestal against a decorated throne-back surmounted by a halo, performing his First Sermon; the wheel and deer below him flanked by monks; on the back is an engraved stupa with umbrellas in outline and a three-line inscription. Carved in schist.",,,,,,,,7thC (late),Made in: India (Eastern),Found/Acquired: Bihar (State),schist,,,carved,Height: 43 centimetres; Width: 19.50 centimetres,"Inscription type: inscription Inscription position: lower back Inscription language: Sanskrit Inscription script: Devanagari Inscription quoted: ye dharmā hetu prabhavā hetuṃ teṣāṃ tathāgato hy avadat teṣāṃ ca yo nirodha evaṃ vādī mahāśramaṇaḥ Inscription translation: So is the teaching of the great Śramaṇa: Whatever conditions springs from causes, the Tathāgata has explained their cause and their confinement also. Inscription note: Pratītyasamutpāda Gāthā","Zwalf 1985
While the Gandharan and early Deccani schools often depicted events from the Buddha's life with a vivid realism, the Sārnāth school represented them more as stylised icons. In this Bihar version of the Sārnāth convention the Buddha sits on a lotus pedestal against a decorated throne-back surmounted by a halo, while the wheel and deer below him are flanked by adoring rather than listening monks, who may be the donors of the image.",Zwalf 1985 / Buddhism: Art and Faith; Willis 2000 / Buddhist Reliquaries from Ancient India; Asher 1980 / The Art of Eastern India: 300-800 (beginning of the 8th century); van Schaik et al 2021 / Precious Treasures from the Diamond Throne: Finds from the Site of the Buddha's Enlightenment,Not on display,"Exhibited: 
2017-2018 2 Nov-8 Apr, BM Gallery 35, Living with gods
Buddhism: Art and Faith (BM 1985)",,buddha; buddhist monk/nun,Representation of: Buddha;  Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka),,Associated Event: First Sermon of the Buddha,,Purchased from: Robert Montgomery Martin,,,,1854,,,Asia,,"1854,0214.1",,,,,185402141
110,https://media.britishmuseum.org/media/Repository/Documents/2018_4/27_8/537f03d7_e806_4ee2_bf22_a8cf009271f6/preview_RRI689_front.jpg,figure,"No: 1861,0728.1",,,,"A head from a terracotta image of the Buddha, depicted with prominent ears, hair curls and with a high ushnisha.",,,,,,,,7thC-8thC,Made in: Kashmir (?),Found/Acquired: Ushkur,terracotta,,,hand-modelled,Height: 19.10 centimetres; Width: 13.50 centimetres; Depth: 12.80 centimetres,,"Zwalf 1985
This head is still close to the Gandharan stucco tradition dated to the 4th and 5th centuries, but must belong to the later clay production known from sites in Kashmir of the so-called Buddhist Baroque, from Afghanistan and the presumed site of Kaniska I's ‘stūpa’ outside Peshawar. The purchase of this head at Peshawar in the last century as part of a larger collection of unknown provenance leaves its attribution open to considerations of style.; Henry Hardy Cole, Archaeological Survey of India. Illustrations of Ancient Buildings in Kashmir (London, 1869).",Koezuka (1994) / Masterpieces of Buddhist and Hindu Art from the British Museum; Zwalf 1985 / Buddhism: Art and Faith,On display (G33/dc60b/s1),"Exhibited:
Buddhism: Art and Faith (BM 1985)
1994, Kyoto National Museum, Masterpieces of Buddhist and Hindu Sculpture from the British Museum
1994, Tokyo, Tobu Museum of Art, Masterpieces of Buddhist and Hindu Sculpture from the British Museum",,buddha,Representation of: Buddha,,,,Purchased from: Edward Thomas,,,,1861,,,Asia,,"1861,0728.1",,,,,186107281
112,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/b0eccc58_cd28_4a27_bc3c_a3b600f3319a/preview_00015515_001.jpg,figure,"No: 2004,0401.1",,,,Standing Buddha Śākyamuni cast in a copper-alloy; the right hand (one finger missing) is in abhayamudrā.,,,,,,,Buddhist,7thC (first half),Made in: Bihar (State),Excavated/Findspot: Tibet (probably),bronze,,,cast,Height: 35.50 centimetres,,,von Schroeder 1981 / Indo-Tibetan Bronzes; Guy & Willis 2007 / L' Escultura en els Temples Indis: L'Art de la Devoció,On display (G33/dc58a/s2),"Exhibited:
This object is the joint property of the BM and the Victoria and Albert Museum. It was toured in the British regions with other Buddhist sculptures from the BM and the V&A during 2005 and early 2006 at the following venues:
1.  Birmingham, dates [Birmingham Museum and Art Gallery]
2.  Bradford, 12th Feb-24th Apr, 2005 [Cartwright Hall Art Gallery]
3.  Leicester, dates  [New Walk Museum]
4   Exeter, until 14th Apr, 2006  [Royal Albert Memorial Museum]
2010 Aug 4-Nov 15, China, Shanghai Museum, 'India: The Art of the Temple'",There are three holes (casting flaws) in the back of the figure and a finger from the right hand is missing.  The bronze bears no trace of patination due to burial and with traces of blue colour adhering to the hair area it is clear that this object has been above ground and probably under worship for many centuries.,buddha,Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka),,,,Purchased through: Eskenazi Ltd,With contribution from: Heritage Lottery Fund; With contribution from: Art Fund (as NACF); With contribution from: Brooke Sewell Permanent Fund; With contribution from: Victoria and Albert Museum; With contribution from: Friends of the V&A,,Previous owner/ex-collection: George Plouvier; Previous owner/ex-collection: Baron Frederic Rollin; Previous owner/ex-collection: Jeff Soref; Previous owner/ex-collection: George Ortiz,2004,"The Buddha sculpture may have been taken from eastern India to the Himalayas soon after its manufacture in the 7th century. It was removed from the Buddhist Himalayas (probably Tibet) in the 1950s or 60s. Its precise findspot and circumstances of acquisition are not known (see von Schroeder 1981, 208). It was first owned by a Belgian yachtsman, George Plouvier of Antwerp, owner of the J-Class Yacht Calabria (a.k.a. Lillas). Plouvier (d. 1972) sold it in 1968 to Baron Frederic (Freddy) Rolin (1919-2001) of Grez-Doiceau, Belgium.  Baron Rolin was a collector of ethnographic art and the owner of the recently (early 2004) identified small portrait of a woman by Vermeer. The Buddha was bought in 1982 by Mr Jeff Soreff of New York. It was then sold to Mr George Ortiz, and subsequently purchased jointly by the BM and V&A in March 2004. Information about the past ownership of the Buddha (up to the sale to Mr Soreff) is contained in a letter (on file in the BM Dept of Asia, with the BM Secretariate and with the Asian Dept. of the V&A) from Mlle Marie-Eliane D'Udekem D'Acoz, Rue Victor Greyson 52, 1050 Bruxelles, Belgium, dated 7th May 2003.",,Asia,,"2004,0401.1",Previous owner/ex-collection number: IS 3-2004 (V&A registration number),,,,200404011
114,https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_10/9086a354_5eb3_4e14_863e_a3da00b101b3/preview_01141918_001.jpg,figure; 畫像,"No: 1907,1111.182",,,,"Head of a painted clay figure. This is the head of a Buddha, represented with half closed eyes and a serene facial expression. His hair is a series of plaited bands passing from one side of the head to the other. Very faint traces of black and red paint can still be seen. The surface of the object is very friable.",,,,,,,,4thC-5thC,,Excavated/Findspot: Rawak;  Excavated/Findspot: 熱瓦克 (Chinese),clay; 粘土,,,hand-modelled; painted,Height: 17.70 centimetres; Width: 10.50 centimetres,,,"Stein 1907 / Ancient Khotan: detailed report of archaeological explorations in Chinese Turkestan; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1907,"The 1907-11-11 group refers to objects from Stein's First Central Asian  Expedition, 1900-01. According to Stein's Introduction to 'Ancient Khotan'  (1907), the expedition was funded by the Governments of India, the Panjab  (Punjab) and from provincial funds of Bengal. All the finds were shipped to  London for sorting, research and publication. The Government of India then  recommended that Dr Rudolf Hoernle, together with the British Museum,  should determine the distribution of the finds (BM Archives, Stein Papers,  CE32/23/5).",,Asia,,"1907,1111.182",Miscellaneous number: R.lxxiv.1 (Stein no.),,,,19071111182
115,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/3edbf2f2_7202_4f1d_a28a_a3b70072a30f/preview_00034168_001.jpg,figure,"No: 1938,0715.1",,,,"A massive figure of Amitābha Buddha standing on a lotus base, made of white marble, with traces of gilding and pigments and a visible joint at the Buddha’s waist. Two hands are missing but the wooden dowels and iron brackets installed at the end of arms to hold the hands remain. Inscribed and dated.",,,,,,,Sui dynasty,585 (Dated by inscription),Made for: Chonguang Temple;  Made in: Hancui,Found/Acquired: Chonguang Temple,marble; wood; iron,,,carved; cast; pigmented,Height: 5.78 metres,Inscription type: inscription Inscription script: Chinese Inscription note: The inscription is dated and names the members of the Yi Yi society who were patrons in the production of the Buddha.,"This figure represents Amitābha Buddha, the Buddha of Infinite Light. According to the inscription on the base, it was dedicated to the Chongguang Temple 崇光寺 in Hancui village 韓崔村 in AD585. Both the temple and the village can no longer be identified, but it is thought that the location was south-west of Baoding 保定 in Hebei province, a region known for its white marble sculptures. 
Buddhism was slowly introduced into China from first century AD and was widespread during the period of division from second to sixth century AD. After achieving the reunification of much of China by AD 581, the two emperors of the Sui dynasty (AD 581-618), both devout Buddhists, made Buddhism a state religion. Amitābha, literally meaning boundless light in Sanskrit, is the principal Buddha of the Pure Land sect 淨土宗 popular in China in the sixth to seventh centuries. 
Almost 8m high, this statue is comparable in size with figures carved in the rock at the Buddhist cave temples of central China from the 5th-7th centuries. During this period, Chinese Buddhist sculpture underwent a transition in style. The earliest stylised images gave way to a greater naturalism, characterised with anatomically credible bodies, probably influenced by the art of Gupta India.
The hands of the statue are missing but the right hand would have been 		raised, palm outwards in the gesture of fearlessness (abhaya mudrā),  and 		the left hand lowered in the gesture of wish-granting (varada mudrā).
A joint and a polished work surface at the waist show that the statue was carved in two separate parts. 
Traces of pigments on more than one location on the surface suggest that the statue was once covered with gilding and colours. 
Buddhist figures often sit or stand on a lotus. Lotuses, as symbols  of purity, enlightenment and divine birth, are an important image in  Buddhist art.
This statue was originally flanked by two smaller figures of bodhisattvas (enlightening beings), one of which is now in the Tokyo National Museum.",Zwalf 1985 / Buddhism: Art and Faith; Rawson 1992 / The British Museum Book of Chinese Art; Pemberton 2002 / The Buddha; Michaelson & Portal 2006 / Chinese Art in Detail; Howard et al. 2006 / Chinese Sculpture,On display (North Stairs),"Exhibited:
Chinese Exhibition in London (1935-36)",The object is intact though clearly cut at the waist in two. It is held in its present position now by a massive iron bracket.,buddha,Representation of: Amitābha/阿彌陀佛/Amida,,,,"Donated by: China, Government of (as Republic of China)",,,Previous owner/ex-collection: C T Loo & Cie,1938,"Presented by CT Loo to the Chinese Government and via H E the Chinese Ambassador to Britain, to the British Museum. This gift to the Museum was made ""to commemorate the International Exhibition of Chinese Art in [...] of goodwill between the two countries"" in 1935/6.  CT Loo et Cie. is an Asian art dealer in Paris. The NY office lent this piece to the 1935/6 exhibition.",,Asia,,"1938,0715.1",,,,,193807151
116,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_2/a0d787fd_5fd9_4243_81c9_a3d60030e49d/preview_01047813_001.jpg,figure,No: MAS.323,,,,"Fragment of a statue showing the head of a Buddha with prominent protuberance (ushnisha), slightly smiling with closed eyes. The left ear of the figure is missing, the remains of the right one indicate that the ears were elongated.  Made of yellowish brown, strongly tempered clay.",,,,,,,,4thC-7thC,,Excavated/Findspot: Ak-terek,clay,,,tempered,Height: 4.80 centimetres; Width: 2.50 centimetres,,,Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China,Not on display,,,buddha,Representation of: Buddha,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.323,Miscellaneous number: A.T.v.0048 (Stein no.),,,,MAS323
118,https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_10/52ced9e0_db8e_4c63_aa0d_a3da00b0f67e/preview_01141968_001.jpg,figure; 畫像,"No: 1907,1111.193",,,,"Fragment of painted clay sculpture. This is the head of the Buddha surrounded by a nimbus, traces of which can still be seen. The figure is damaged, single fragments have broken off and the left ear is missing. The large protuberance on top of the head witht he curly hair is clearly visible, the face with the half closed eyes has a serene expression. Traces of a red slip can still be seen. The figure was probably made using a mould and is completely flat on the reverse side.",,,,,,,,4thC-5thC,,Excavated/Findspot: Rawak;  Excavated/Findspot: 熱瓦克 (Chinese),clay; 粘土,,,hand-modelled; painted; slipped,Height: 7.90 centimetres; Width: 7.20 centimetres,,,"Stein 1907 / Ancient Khotan: detailed report of archaeological explorations in Chinese Turkestan; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1907,"The 1907-11-11 group refers to objects from Stein's First Central Asian  Expedition, 1900-01. According to Stein's Introduction to 'Ancient Khotan'  (1907), the expedition was funded by the Governments of India, the Panjab  (Punjab) and from provincial funds of Bengal. All the finds were shipped to  London for sorting, research and publication. The Government of India then  recommended that Dr Rudolf Hoernle, together with the British Museum,  should determine the distribution of the finds (BM Archives, Stein Papers,  CE32/23/5).",,Asia,,"1907,1111.193",Miscellaneous number: R.016 (Stein no.),,,,19071111193
125,https://media.britishmuseum.org/media/Repository/Documents/2014_11/3_16/e60f3f41_3877_4ada_974d_a3d801107246/preview_01147757_001.jpg,figure,No: MAS.154,,,,"Fragment of a soapstone figurine. This the head of a Buddha, clearly recognizable by the strongly elongated earlobes and the protuberance on top of his head.",,,,,,,,3rdC,,Excavated/Findspot: Yotkan,soapstone,,,carved,Height: 1.80 centimetres; Width: 1.50 centimetres,,,Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China,Not on display,,,buddha,Representation of: Buddha,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.154,Miscellaneous number: Yo.00134 (Stein no.),,,,MAS154
129,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_3/302da89a_aaf8_4588_ae8f_a3d60036e7b6/preview_01049875_001.jpg,figure; 畫像,No: MAS.479,,,,"Lower part of a wooden figure, possibly a representation of the Buddha in meditation position. Shown are two legs in lotus position (padmāsana), clothed in a robe. The many folds of the garment are also depicted.",,,,,,,,6thC,,Excavated/Findspot: Kara-yantak;  Excavated/Findspot: 喀拉央塔克 (Chinese),wood; 木,,,carved; 雕刻 (Chinese),Diameter: 7.60 centimetres; Height: 10.20 centimetres; Width: 32 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha (?);  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.479,Miscellaneous number: K.Y.I.0020 (Stein no.),,,,MAS479
131,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_17/a2938605_7790_4f95_ae14_a3d6011875f7/preview_01068720_001.jpg,figure; 畫像,No: MAS.354,,,,Fragment of statuette made of grey clay that has been burned black. This is the head of the Buddha with the elongated earlobes and the protuberance clearly visible. It is surrounded by a halo ending in a wrath of (lotus?) leaves held together by bands.,,,,,,,,4thC-5thC,,Excavated/Findspot: Chalma-kazan;  Excavated/Findspot: 卡爾馬-卡扎 (Chinese),fired clay; 粘土,,,烘乾的 (Chinese),Height: 6.80 centimetres; Width: 7.50 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.354,Miscellaneous number: Chal.002 (Stein no.),,,,MAS354
133,https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_10/24bf8beb_1fab_4fed_b03b_a3da00b0ebbe/preview_01141963_001.jpg,figure; 畫像,"No: 1907,1111.191",,,,"Fragmentary clay figure of a standing Buddha. Head and legs are missing and only fragments of the right arm remain. But these indicate that the right hand was raised in front of the right shoulder, palm fagin outward. This is the Abhaya mudrā, the gesture of no-fear. The left hand holds the garment with prominent folds which is draped around the shoulders. Remains of the nimbus once surrounding the head remain and in the folds of the garments, traces of red paint are still visible. The figure was probably made using a mould and is completely flat on the reverse side.",,,,,,,,4thC-5thC,,Excavated/Findspot: Rawak;  Excavated/Findspot: 熱瓦克 (Chinese),fired clay; 粘土,,,mould-made (?); painted,Height: 21.70 centimetres; Width: 17.30 centimetres,,,"Stein 1907 / Ancient Khotan: detailed report of archaeological explorations in Chinese Turkestan; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1907,"The 1907-11-11 group refers to objects from Stein's First Central Asian  Expedition, 1900-01. According to Stein's Introduction to 'Ancient Khotan'  (1907), the expedition was funded by the Governments of India, the Panjab  (Punjab) and from provincial funds of Bengal. All the finds were shipped to  London for sorting, research and publication. The Government of India then  recommended that Dr Rudolf Hoernle, together with the British Museum,  should determine the distribution of the finds (BM Archives, Stein Papers,  CE32/23/5).",,Asia,,"1907,1111.191",Miscellaneous number: R.013 (Stein no.),,,,19071111191
134,https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_11/be3d61a8_27ad_48dc_87dd_a3d900c47d0b/preview_01152151_001.jpg,figure; 畫像,No: MAS.984,,,,"Fragment of a stucco figure representing the Buddha. Only the face remains, hair and ears are missing. The object was mould-made in stucco and then additionally painted. The skin is white, the eyebrows as well as outlines and iris of the eyes black while the upper eyelid and lips were emphasised using red and the moustache using blue colour.",,,,,,,,6thC-7thC,,Excavated/Findspot: Ming-oi;  Excavated/Findspot: 明屋 (Chinese),stucco; 灰泥,,,mould-made; painted; 模製 (Chinese),Height: 11 centimetres; Width: 9 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.984,Miscellaneous number: Mi.i.001 (Stein no.),,,,MAS984
135,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_3/44b080a7_50df_4fe3_8276_a3d600337b9a/preview_01048825_001.jpg,figure; plaque,No: MAS.309,,,,"Fragment of relief plaque made of red clay with a yellow slip. Shown is a seated Buddha wearing a robe with prominent folds. A fragment of a head nimbus enclosed by a plain band is visible. He is shown seated, with crossed legs and closed eyes. The ears are strongly elongated, the hands are hidden under a part of the robe.",,,,,,,,4thC-7thC,,Excavated/Findspot: Ak-terek,clay,,,mould-made; slipped; 模製 (Chinese),Height: 9.60 centimetres; Width: 4.70 centimetres,,,Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China,Not on display,,,buddha,Representation of: Buddha,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.309,Miscellaneous number: A.T.iv.00113 (Stein no.),,,,MAS309
