,Unnamed: 0,Unnamed: 0.1,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
36,36,36,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/9c3533d4_9010_48d2_ac35_a3b5010fd294/preview_00144663_001.jpg,figure,No: 1880.189,The Buddha (Object),,,"Standing Buddha, originally in 'abhaya-mudra'. The drapery folds in rounded terraces and ridges following the two schemes. The oval face is full and the hair undulates from a peak over the narrow forehead into the uṣṇīṣa, the top of which has a shallow and circular central hole. The eyebrows are a distinct edge, the eyes narrow and slanting, and a small worn ūrṇā survives above the flattened nose. Below it, there are a small mouth and a large full chin. The long prominent ears have large curving tops and short grooved lobes. A short length of a cylindrical strut for the 'abhaya-mudra' hand survives on the upper right arm and the pendent left hand, securing the robe by a damaged loop of drapery, has long and fluid fingers.",,,,,,,Kushan,2ndC-3rdC,,Found/Acquired: Jamalgarhi,schist,,,carved,Diameter: 5.80 centimetres; Height: 33.30 centimetres; Width: 13.10 centimetres,,"Zwalf 1996:
The two schemes mentioned relate to the arrangement of the drapery folds on the over-robe or outer-garment of Gandharan standing Buddha figures. There are two types of folds: major and minor folds. The major folds may consist of usually rounded ridges in varying relief, which may also be a little undercut from above to form shallow pockets and more mechanically distributed terraces. In between them there may be minor folds, usually thin ribs in very low relief. The alternation of major and minor folds may continue down the whole body (see 1889.1109.1 8), or may be concentrated on the upper part of the body (see 1899.0715.1 2). There are also sculptures where the minor folds are almost wholly absent (see 1902.1002.11 12). The folds are usually arranged according to two basic rules: the folds above the middle are generally centred on the right side of the body, and those downwards from it are distributed along a vertical line between the legs.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, cracked, exfoliated and with soil incrustation. 
2.Halo, right arm and feet lost. 
3.The robe is damaged, but continues on the round sides and, summarily, on part of the back. 
4.Flat back except where the halo is lost. 
5.Incised with 'J' and painted: 'N° 7/Cap' Blair/Peshawar'.",buddha,Representation of: Buddha,,,,From: India Museum,,,,,,,Asia,,1880.189,,,,,1880189
37,37,37,https://media.britishmuseum.org/media/Repository/Documents/2019_6/19_13/5b464e3d_b5a2_4c7a_a623_aa7100e4c7f1/preview_RRI7647.jpg,figure,"No: 1937,0716.156",The Buddha (Object),,,"Standing Buddha, originally in 'abhaya-mudra'. The drapery folds curve in high fine ridges and merging schemes, and a vestigial strut appears on the upper 'abhaya-mudra' arm. Behind the damaged left arm is part of the backthrow, gathered drapery hanging below it. The hair on the harmoniously long, oval and tilted head undulates into the uṣṇīṣa from the peak over the forehead, which has an ūrṇā. The eyes are open and straight under gently arched eyebrows, here of curved section rather than forming a sharp edge; the mouth is straight, with the upper lip hinting at a moustache; and the chin is full. The long ears are set close to the head and the neck is long and slender. The breasts and abdomen are softly rounded and the robes show the jutting knee of the flexed left leg.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 5.80 centimetres; Height: 28 centimetres; Width: 12.40 centimetres,,"Zwalf 1996:
The term ‘backthrow’ refers to that part of the over-robe or outer-garment which is thrown over the left shoulder after the body has been draped.
The two schemes mentioned relate to the arrangement of the drapery folds on the over-robe or outer-garment of Gandharan standing Buddha figures. There are two types of folds: major and minor folds. The major folds may consist of usually rounded ridges in varying relief, which may also be a little undercut from above to form shallow pockets and more mechanically distributed terraces. In between them there may be minor folds, usually thin ribs in very low relief. The alternation of major and minor folds may continue down the whole body (see 1889.1109.1), or may be concentrated on the upper part of the body (see 1899.0715.1). There are also sculptures where the minor folds are almost wholly absent (see 1902.1002.11). The folds are usually arranged according to two basic rules: the folds above the middle are generally centred on the right side of the body, and those downwards from it are distributed along a vertical line between the legs.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken, chipped, rejoined and with soil incrustation.
2.Halo almost lost; forearms missing; legs broken above ankles; and garment edges damaged. 3.Carved onto sides. Back with diagonal chisel grooves. It also has a modern drilled hole. 
4.Head has been reattached.",buddha,Representation of: Buddha,,,,Purchased from: George Eumorfopoulos,,,,1937,,,Asia,,"1937,0716.156",,,,,19370716156
38,38,38,https://media.britishmuseum.org/media/Repository/Documents/2018_10/10_10/b4625b2f_2dde_481b_b8ff_a97500ac3ed3/preview_PS250902.jpg,figure,"No: 1935,0312.1",,,,"Head from a Buddha image. The head is long and oval with a raised hairline curving to a blunt peak. The narrow band of surviving hair undulates, in prominent waves at the side and in lower relief from the peak above the raised ūrṇā. Sharp edges for eyebrows arch above long narrow eyes, that on the right being longer and more slanting; the low upper lids are distinct and sharply outlined above by an incised curve. Only part of the right ear survives. The nose is long and narrow with a rounded ridge and incisions defining the wings. The shaped lips have sharp outlines, cavities at the corners and a flattened plane is above the chin which juts slightly. Red pigment outlines the hairline, the inner lids and the ear cavities. The head is very striking in its linear treatment and the cheeks, the sides of the nose and even the chin are lacking in fleshiness.",,,,,,,,4thC-5thC,Made in: Gandhara (Pakistan),Found/Acquired: Swat Valley,stucco,,,moulded,Diameter: 19.50 centimetres; Height: 33 centimetres; Width: 25.40 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,"Exhibited:
2003 18 Oct-14 Dec, Tokyo Metropolitan Art Museum, Treasures of the World's Cultures
2004 17 Jan-28 Mar, Kobe City Museum, Treasures of the World's Cultures
2004 10 Apr-13 Jun, Fukuoka Art Museum, Treasures of the World's Cultures
2004 26 Jun-29 Aug, Niigata Bandaijima Art Museum, Treasures of the World's Cultures
2005 11 Apr-10 Jul, Seoul Arts Centre, Treasures of the World's Cultures
2005 25 Jul-8 Oct, Busan Museum, Treasures of the World's Cultures
2005 27 Oct-2006 31 Jan, Haengso Museum, Keimyung University, Daegu, Treasures of the World's Cultures
2006 18 Mar-4 Jun, Beijing, Capital Museum, Treasures of the World's Cultures
2007 3 Feb-27 May, Taipei, National Palace Museum, Treasures of the World's Cultures
2007 14 Sep-2 Dec, Hong Kong Museum of Art, Treasures of the World's Cultures","1.Lime-stucco, broken, chipped, cracked and with vestiges of pigment.
2.Irregularly broken at back and along neckline; top of head mainly rough. 
3.Front, where undamaged, partly smooth and yellowish, revealing lighter shades and much ""craquelure"" on forehead and nose. 
4.Back now partly hollow and core material contains small stones.",buddha,Representation of: Buddha,,,,Donated by: Col A H Burn CIE OBE,,,,1935,,,Asia,,"1935,0312.1",,,,,193503121
39,39,39,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/6cabadb8_d0ee_471b_8da1_a3b5010b3460/preview_00142832_001.jpg,figure,No: 1880.109,,,,"Head from a Buddha image. The head is oval with a high uṣṇīṣa, but the hairline and hair markings (probably as on 1880.107) are barely distinguishable and the ears are now stumps. The surviving eye is rounded, protruding and long with a low upper lid with a curving lower edge. The broad nose is set over a long mouth and the cheeks are full.",,,,,,,Buddhist,5thC-6thC,Made in: Hadda,Excavated/Findspot: Hadda Stupa 8a (Stupa mound 50 feet north of 'Tope Momand'/Hadda Stupa 8.),gypsum-stucco,,,moulded,Diameter: 5.50 centimetres; Height: 8.50 centimetres; Width: 6.50 centimetres,,"For comments by Zwalf (1996) identifying the group of 13 gysum-stucco heads from Afghanistaan and the India Museum, see 1880.107.; E. Errington: The stylistic similarities between this head and Masson's sketch of 1880.110 (MSS Eur. F63, section 2, f. 66) identifies it and three similar heads (1880.111, 1880.112, 1880.117) as the group of five he collected from 'Tupper Momand' at Hadda in 1835. For documentation, see 1880.110.; 'IM' in pencil on the object identifies it as being from the India Museum.","Wilson 1841 / Ariana Antiqua.  A Descriptive Account of the Antiquities and Coins of Afghanistan; Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum; Errington 2006 / 'Boots', 'female idols' and disembodied heads; Errington 2017a / Charles Masson and the Buddhist Sites of Afghanistan: Explorations, Excavations, Collections 1832-1835",Not on display,,"Lab. no.42001Q: examined with a binocular microscope and analysed by X-ray powder diffraction (XRD) using Debye-Scherrer cameras, a technique which only requires very small samples (Zwalf 1996, pp. 363–64). Analysis of the surface material of six heads (1880.107, 109, 110, 111, 113, 114) gave a similar result to analysis of the core, showing a gypsum composition throughout. \n 1. Gypsum-stucco, cracked and very worn. \n 2. Left side of face indistinct; back and interior made up with modern plaster. \n 3. Much of surface hard and smooth.",buddha,Representation of: Buddha,,,,Transferred from: India Museum,,,,1880,,Excavated by Masson in 1835.,Asia,,1880.109,Miscellaneous number: IM (i.e. 'India Museum' pencilled on object),,,,1880109
40,40,40,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/230b86e7_084b_4732_8986_a3b5010ad885/preview_00142834_001.jpg,figure,No: 1880.110,,,,Head from a Buddha image. The round head has a curving hairline receding at the prominent temples and the hair is in the ladder mode as on 1880.107. The indistinct edges for eyebrows curve asymmetrically over rounded protruding eyes with low lids. The nose is broad over a full mouth and the upper lip is shaped. The surviving ear projects clumsily. The face is broad and chubby with a full chin.,,,,,,,Buddhist,5thC-6thC,Made in: Hadda,Excavated/Findspot: Hadda Stupa 8a,gypsum-stucco,,,moulded,Diameter: 6 centimetres; Height: 7.60 centimetres; Width: 6 centimetres,,"Zwalf 1996: For a head from Butkara I resembling this and 1880.111 see Torino Museo CIvico, Mosttra delle sculture buddiste dello Swat, Turin 1963: pl 60. For further comments, see 1880.107.; E. Errington: Masson's sketch of this head (MSS Eur. F63, section 2, f. 66) identifies it and four similar heads (1880.109, 1880.111, 1880.112, 1880.117) as those he collected from 'Tupper Momand' at Hadda in 1835. This stupa was accidentally exposed by villagers, 50 feet north of 'Tope Momand'/Hadda Stupa 8  (site details and illustration incorrectly transposed with Stupa 12 in Wilson 1841). For Masson's sketch of the stupa encircled with a frieze of 16 seated Buddhas between pilasters, see MSS Eur. E164, f.123.","Masson MSS Eur. F63; Wilson 1841 / Ariana Antiqua.  A Descriptive Account of the Antiquities and Coins of Afghanistan; Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum; Errington 2006 / 'Boots', 'female idols' and disembodied heads; Errington 2017a / Charles Masson and the Buddhist Sites of Afghanistan: Explorations, Excavations, Collections 1832-1835",Not on display,,"Lab. no.33493X: examined with a binocular microscope and analysed by X-ray powder diffraction (XRD) using Debye-Scherrer cameras, a technique which only requires very small samples (Zwalf 1996, pp. 363–64). Analysis of the surface material of six heads (1880.107, 109, 110, 111, 113, 114) gave a similar result to analysis of the core, showing a gypsum composition throughout. \n 1. Gypsum-stucco, broken. \n 2. Back, interior and top of head made up with modern plaster. \n 3. Surface smooth and hard.",buddha,Representation of: Buddha,,,,Transferred from: India Museum,,,,1880,,Excavated by Masson in 1835.,Asia,,1880.110,,,,,1880110
41,41,41,https://media.britishmuseum.org/media/Repository/Documents/2018_11/5_12/209107c5_5bc6_4391_a2d4_a98f00ccf023/preview_RRI10019.jpg,figure,"No: 1962,0421.1",,,,"Head from a Buddha image. The head is oval to round with a high bulbous uṣṇīṣa drawn in at its base; the raised hairline has a small peak and the hair is indicated by rows of depressions as on BM 1936.1014.1. The narrow forehead is smoothly rounded above high arching edges for eyebrows, the eyes are very rounded with prominent and low upper lids. The painted iris emerges from under each upper lid but is almost lost in one eye. The right eye is slanting, smaller and lower than the other. Under the damaged nose the mouth has almost parted, painted lips and cavities at both corners. The lower lip is a single full lobe and the almost pointed chin curves into the cheeks below a flattened plane under the mouth. Black pigment covers the hair and irises, and outlines the edges of the eyebrows and upper eyelids over the irises; red outlines the hairline, the edges of the eyelids under the eyebrows and irises, the wings of the nose, the ūrṇā and a circle marking the 'philtrum' on the upper lip, the ears, the depression under the mouth, the junction of the back of the head with its wall, the neck where it joins the head and again twice below. The lips are wholly red. The expression is smiling.",,,,,,,,4thC-5thC,Made in: Gandhara (Pakistan),,stucco,,,painted; moulded,Diameter: 9.40 centimetres; Height: 17.50 centimetres; Width: 11.10 centimetres,,"Zwalf 1985
Of the vast numbers of surviving Gandharan stucco heads many still show traces of their colouring. On this head the hair, eyebrows and irises are black; a bright orange-red is used on the lips and to outline other features. Fewer bodies survive, since on them the more durable stucco was thinly spread over clay.",Zwalf 1985 / Buddhism: Art and Faith; Koezuka (1994) / Masterpieces of Buddhist and Hindu Art from the British Museum; Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,"Exhibited:
Buddhism: Art and Faith (BM 1985)

1994, Kyoto National Museum, Masterpieces of Buddhist and Hindu Sculpture from the British Museum
1994, Tokyo, Tobu Museum of Art, Masterpieces of Buddhist and Hindu Sculpture from the British Museum","1.Stucco, broken, chipped, cracked and with pigment. 
2.Irregularly broken at back and under neck; outer layer and core distinct and with modern plaster securing a pierced wooden block to take a screw. 
3.Face surface very smooth with more or less circular brighter patches of white over other pigments.",buddha,Representation of: Buddha,,,,Donated by: Surg Henry Atkins (Trustees of),,,,1962,,,Asia,,"1962,0421.1",,,,,196204211
42,42,42,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/efa387d2_fd3a_49df_85d3_a3b50116c61d/00146752_001.JPG,figure,"No: 1902,1002.2",The Buddha (Object),,,"Standing Buddha, originally in 'abhaya mudra'. The dense major drapery folds are rendered in well-rounded ridges and terraces; the upper and lower schemes almost merging. A fall of gathered drapery hangs under the damaged left arm. 
The oval face is mechanically modelled and the hair undulates evenly into the uṣṇīṣa, which has two rows of thick curls below a row of waved strands radiating at the top. The forehead is low over curving edges for eyebrows, which become thin ridges under the temples. The slightly slanting eyes are narrow and their lids have sharp lower edges. The ūrṇā is in relief low down on the bridge of the nose. The lips are barely shaped, the lower somewhat thicker, and the chin is full. The long ears are close to the head and stick out a little at the top. 
The head is tilted downwards and the chest is broad and flat. The flexed right knee is only slightly indicated under the robe. The damaged feet stand on a worn rectangular base with horizontal framing elements, and vestiges of a palmette can be seen on the front and sides.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan);  Made in: Buner,Found/Acquired: Buner,schist,,,carved,Diameter: 12.30 centimetres; Height: 72.80 centimetres; Width: 28 centimetres,,"Zwalf, 1996:
The two schemes mentioned relate to the arrangement of the drapery folds on the over-robe or outer-garment of Gandharan standing Buddha figures. There are two types of folds: major and minor folds. The major folds may consist of usually rounded ridges in varying relief, which may also be a little undercut from above to form shallow pockets and more mechanically distributed terraces. In between them there may be minor folds, usually thin ribs in very low relief. The alternation of major and minor folds may continue down the whole body (see 1889.1109.1 8), or may be concentrated on the upper part of the body (see 1899.0715.1 2). There are also sculptures where the minor folds are almost wholly absent (see 1902.1002.11 12). The folds are usually arranged according to two basic rules: the folds above the middle are generally centred on the right side of the body, and those downwards from it are distributed along a vertical line between the legs.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken and exfoliated.
2.Halo almost lost and both forearms missing. There is dovetail mortise on the 'abhaya' arm. 3.Carved onto the sides. 
4.Pedestal exfoliated with a flat and rough bottom. The back is very exfoliated and bears the horizontal chisel grooves at the bottom.",buddha,Representation of: Buddha,,,,Donated by: Capt B C Waterfield,,,,1902,,,Asia,,"1902,1002.2",,,,,190210022
43,43,43,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/c0a8f6f7_89ab_45ea_a719_a3b501233493/preview_00149810_001.jpg,figure,"No: 2006,0413.1",,,,"Seated Buddha, with right hand raised in abhayamudrā; carved in a grey schist; nimbus broken and repaired.",,,,,,,,2ndC,Made in: Pakistan,,stone; schist,,,carved,Height: 61.50 centimetres; Width: 45 centimetres; Depth: 10 centimetres,,,,Not on display,"Exhibited:
2006 Apr-present, Glampton (Devon), Greenway House, LT Loan",Damaged nimbus repaired by conservators at the National Trust after discussion with and authorisation by the Department of Asia.,,Representation of: Buddha,,,,Bequeathed by: Professor Sir Max Edgar Lucien Mallowan; Bequeathed through: National Trust,,,,2006,"This object was bequeathed in 1976 to the British Museum with the proviso that Mr Anthony Hicks, Sir Max Mallowan's son-in-law, had possession of it during his lifetime. Rosalind and Anthony Hicks both died in 2005 and the Buddha was given to the Museum according to the terms of Sir Max's will. It remains on long-term loan in Greenway House in Devon under the care of the National Trust.",,Asia,,"2006,0413.1",,,,,200604131
44,44,44,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/179d67f5_ea22_4dae_87a6_a3b5010b3335/preview_00142831_001.jpg,figure,No: 1880.107,,,,"Head from a Buddha image. The head is round to oval with a large, bulbous uṣṇīṣa set forward, the hairline forms a peak over the forehead and the hair is in the ladder mode of bands of straight transverse grooves running from side to side, but hardly marked at the back, which is almost complete, suggesting a head at least in the round. The forehead is high above long narrow eyes, and sharp arching edges for eyebrows continue onto the thin nose which curves to the left, the upper lids are low over the eyes, the right eye slants downwards to the left and has a vestige of red pigment on the upper lid. The mouth curves upwards on the right, the chin juts to the left, producing with eye and nose an asymmetry with the uṣṇīṣa. The long and crude concave ears project prominently.",,,,,,,Buddhist,5thC-6thC,Made in: Hadda,"Excavated/Findspot: Hadda Village Mound (Excavated from the mound on which the modern village is built, under the walls to the south.)",gypsum-stucco,,,moulded,Diameter: 6.60 centimetres; Height: 9.80 centimetres; Width: 7.30 centimetres,,"Zwalf 1996: The composition of this head connects it with 1880.121, 1880.114, 1880.119, 1880.116, 1880.115, 1880.113, 1880.112, 1880.110, 1880.111 and 1880.117 some of which share an especially distinctive manner. Three, the present piece, 1880.121 and 1880.119, appear to be, or to have been, in the round and several more of the heads curve sufficiently towards the back to suggest the same possibility. The pencilled initials 'IM' on several seem to indicate that they were in the former India Museum. Their material, gypsum, has not been noticed elsewhere in the collection and seems unreported in Gandhāra sculpture in Pakistan. Its use is, however, well attested in Afghanistan.
The full, rather fleshy features prominent on several heads, especially 1880.112, 1880.110, 1880.111 and 1880.117, suggest Gupta influence and a late date. If they have an Afghan provenance, the heads may fit into a later Gandhāra stage and even form a transition towards work in clay seen for instance at Tapa Sardar. For other comparisons see 1880.110; and heads from Rokhri (e.g. Chandigarh 162, 168).; E. Errington: The links with Afghanistan and the India Museum suggest that this head (together with the seven stylistically similar heads 1880.113-1880.116 1880.118-119 and 1880.121) can be identified as the eight Masson procured in July 1834 from under the southern walls of the mound on which Hadda village stood (marked as two rows of dots and 'Idols extracted' on the map in Wilson 1841, Topes pl.I). He describes the Buddha figures as c. 15-20 cm in height, comprising 'a strong cast head fixed on a body of earth, whence the heads only can be brought away. They are seated and clothed in folds of drapery, and the hair is woven into rows of curls. The bodies are sometimes painted with red lead, and rarely covered with leaf gold: they appear to have been interred in apartments [i.e. between pilasters], of which fragments are also found' (Wilson 1841, p.113). For documentation and discussion, see Errington 2006, pp.89-96.","Wilson 1841 / Ariana Antiqua.  A Descriptive Account of the Antiquities and Coins of Afghanistan; Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum; Errington 2006 / 'Boots', 'female idols' and disembodied heads; Errington 2017a / Charles Masson and the Buddhist Sites of Afghanistan: Explorations, Excavations, Collections 1832-1835",Not on display,,"Lab. no.32719S: examined with a binocular microscope and analysed by X-ray powder diffraction (XRD) using Debye-Scherrer cameras, a technique which only requires very small samples (Zwalf 1996, pp.363-4). Analysis of the surface material of six heads (1880.107, 109, 110, 111, 113, 114) gave a similar result to analysis of the core, showing a gypsum composition throughout.  \n 1. Gypsum-stucco, broken and with traces of pigment. \n 2. Back almost complete with only bottom and neck made up with modern plaster. \n 3. Surface smooth and hard.",buddha,Representation of: Buddha,,,,Transferred from: India Museum,,,,1880,,Excavated by Masson in July 1834.,Asia,,1880.107,,,,,1880107
45,45,45,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/7f58bc1f_1ad6_4b0f_b5f5_a3b501141bc4/preview_00146033_001.jpg,figure,"No: 1889,1109.1",The Buddha (Object),,,"Standing Buddha, originally in 'abhaya-mudra'. A thick neckline shows the backthrow, and the dense drapery folds run in finely rounded thin ridges, in prominent relief between the legs. A hint of the antaravāsaka girdle shows between the two schemes. 
The head, which looks down, is elegantly oval, with hair undulating from a peak into the uṣṇīṣa, which is a little tilted forward and has a small and circular central hole in the top. The eyebrows are a distinct edge, curving gently with a large ūrṇā between, and the long narrow eyes have heavy and prominent lids. The nose is broken and the lips are thin, pursed and shaped above a jutting chin. The concave ears are long and close to the head. 
The left knee is flexed, the abdomen is lightly rounded and the halo is plain.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Takht-i-Bahi,schist,,,carved,Height: 56.80 centimetres sculpture + base ; Weight: 14 kilograms; Width: 20.40 centimetres base ; Width: 22.40 centimetres scultpure ; Depth: 10.30 centimetres base ; Depth: 11.60 centimetres sculpture ,,"Zwalf, 1996:
The term ‘backthrow’ refers to that part of the over-robe or outer-garment which is thrown over the left shoulder after the body has been draped.
The two schemes mentioned relate to the arrangement of the drapery folds on the over-robe or outer-garment of Gandharan standing Buddha figures. There are two types of folds: major and minor folds. The major folds may consist of usually rounded ridges in varying relief, which may also be a little undercut from above to form shallow pockets and more mechanically distributed terraces. In between them there may be minor folds, usually thin ribs in very low relief. The alternation of major and minor folds may continue down the whole body (as in this figure) , or may be concentrated on the upper part of the body (see 1899.0715.1). There are also sculptures where the minor folds are almost wholly absent (see 1902.1002.11). The folds are usually arranged according to two basic rules: the folds above the middle are generally centred on the right side of the body, and those downwards from it are distributed along a vertical line between the legs.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,"Exhibited:
2015 24 Sept-15 Nov, Seoul, National Museum of Korea, Masterpieces of Early Buddhist Scultpure","1.Grey schist, broken and cracked.
2.Halo with edge sloping back and only partly intact. 
3.Feet, garment edges and both forearms lost. There are remains of mortise on the 'abhaya-mudra' arm. 
4.Carved onto the sides. The back bears vertical chisel grooves. 
5.Set on modern limestone pedestal.",buddha,Representation of: Buddha,,,,From: C E Pitman,,,,1889,,,Asia,,"1889,1109.1",,,,,188911091
46,46,46,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/e8cbc59a_30b0_43da_adc0_a3b70071a3df/preview_00033929_001.jpg,figure,"No: 1929,1104.2",The Buddha (Object),,,"Head from a Buddha image. The hair undulates densely from a small peak and the hairline into and beyond a flat and large uṣṇīṣa. The forehead is narrow above sharp and curving edges for eyebrows below which smoothly curving planes slope inward to long, protruding rounded eyes, where the lower edges of the upper lids curve and dip. The large nose is narrow and straight, continuing the edges of the eyebrows at the top; above, well up on the forehead, is a raised ūrṇā. The wings of the nose and nostrils are rather weakly executed; the narrow upper lip is modelled beside the philtrum to suggest a moustache and the mouth is shaped and horizontal above a well-formed, emphatic chin. A sharp change of plane occurs between chin and neck.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 20 centimetres; Height: 38.70 centimetres; Width: 23.50 centimetres,,"Zwalf 1996:
The scale of this head allows it to combine harmoniously within a balanced oval shape a distinct variety of planes with sharp outlines.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Dark grey schist, broken with some exfoliation. 
2.Sliced neatly at back with considerable damage to both ears and back of uṣṇīṣa. 3.Rough sloping break below neck. 
4.Supported by a modern metal rod and plaster behind.",buddha,Representation of: Buddha,,,,"Bequeathed by: Pollock Dighton; Bequeathed through: Stanley Owen Buckmaster, 1st Viscount Buckmaster",,,,1929,,,Asia,,"1929,1104.2",,,,,192911042
47,47,47,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/bb4d5db7_054c_4bcb_baa6_a3b5011021e6/preview_00144743_001.jpg,figure,No: 1880.217,The Buddha (Object),,,"Seated Buddha preaching. 
The edge of the outer garment, worn to leave the right shoulder bare, is in higher relief across the chest where an undergarment is visible above it. Between the knees and lying flat on the seat are a semi-circular lower edge and thicker undulating fall of gathered drapery from the right forearm, where an edge of the backthrow is drawn close and a small loop hangs beside it. The drapery folds are a mixture of ridges and terraces with rounded edges. The head, inclined downwards, is oval to square, and the hair undulates densely into the large globular uṣṇīṣa, which is bound by a thin twisted cord with a small disc in the middle. The forehead is narrow above sharp curved edges for eyebrows and long narrow eyes with heavy lids slant downwards to the proper left. The flat nose under the rather high ūrṇā continues the sharp browlines. The mouth is shaped with a hint of a moustache indicated by a small convexity on both sides of the large oval philtrum or vertical groove on the upper lip; the chin is full and the concave ears have short lobes.
The Buddha sits leaning forward, and while there are slight swellings to indicate the breasts, the abdomen is very flat. Above the bare arm a slight contraction below the shoulder suggests, with the elbow, biceps, and below the elbow the arm curves and tapers. The hands have straight thumbs and fluid fingers with nails. The fingers of the lower hand all touch the bottom of the upper, whose fingers curve round the columnar projection on the chest which also produces the required webbed effect between the fingers. The very summary upturned feet appear under the drapery and partly uncovered on the Buddha's right.
The seat, under a cushion with a horizontal band containing an undulating line, has two stylised lion's legs with drapery in between, and against the drapery a preaching Buddha with both shoulders covered, a semi-circular edge of the overrobe below but no fall of gathered drapery, a flattened face and rounded protruding eyes sits on the gynoecium of a lotus; he is flanked by a figure with a chignon and another in a turban. Both are unhaloed and seated, with the hands as in dhyāna, the legs crossed above the ankles and wearing an uttarīya, collar, earrings and bracelets. If these are not gods receiving instruction in the Trāyastriṃśa heaven, they might be Bodhisattvas. Flanking each is a standing monk, turning inwards, leaning forward and with hands joined. Note the paired grooves for drapery folds. On the sides is a straight fall of drapery.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Height: 74.60 centimetres Object on module ; Height: 68.30 centimetres Object ; Width: 36.70 centimetres Object on module ; Width: 35.20 centimetres Object ; Depth: 22 centimetres Object on module ; Depth: 14.20 centimetres Object ,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,"Exhibited:
2015-2016 Dec-Mar, Seoul Arts Centre, The Human Image
2021 - 2022 27 Apr – 16 Jan, Madrid, Caixa Forum, “Human  Image”","1.Grey schist, broken and chipped.
2.Halo almost lost; legs gashed on sides. 
3.Carved onto sides; right arm partly undercut. 
4.Back roughly straight with some horizontal chisel grooves. 
5.Set in modern painted stone pedestal.",buddha; bodhisattva; monk/nun,Representation of: Buddha,,,,,,,,,,,Asia,,1880.217,,,,,1880217
